"addon"
{
	"event_elysium_boss_aether"													"Проявление Пространства"
	"relic_generic_unicorn_horn_Description"																"Даёт 20 к скорости передвижения и 25% к урону со способностей."
	
	"relic_generic_breath_of_life"																			"Дыхание жизни"
	"relic_generic_breath_of_life_Description"																"Даёт 200 к максимальному здоровью, мане и 3 к регенерации здоровья, маны."
	
	"relic_generic_horn_of_bannermen"																		"Рог Баннермена"
	"relic_generic_horn_of_bannermen_Description"															"Даёт 25 к ловкости."

	"relic_generic_helm_of_justice"																			"Щлем справедливости"
	"relic_generic_helm_of_justice_Description"																"Даёт 25 к силе."
	
	"relic_generic_crown_of_power"																			"Корона силы"
	"relic_generic_crown_of_power_Description"																"Даёт 25 к интеллекту."
	
	"relic_generic_haste_stone"																				"Камень скорости"
	"relic_generic_haste_stone_Description"																	"Даёт 80 к скорости атаки."
	
	"relic_generic_tanned_hide"																				"Tanned Hide"
	"relic_generic_tanned_hide_Description"																	"Даёт 5 к броне."
	
	"relic_generic_arcane_threads"																			"Arcane Threads"
	"relic_generic_arcane_threads_Description"																"Даёт 15% к сопротивлении магии."
	
	"relic_generic_fog_lace"																				"Туманное кружево"
	"relic_generic_fog_lace_Description"																	"Даёт 15% к уклонению."
	
	"relic_generic_draculine_tooth"																			"Зуб дракулины"
	"relic_generic_draculine_tooth_Description"																"Каждая атака восстанавливает 20 здоровья."
	
	"relic_generic_worn_spear"																				"Изношенное копьё"
	"relic_generic_worn_spear_Description"																	"Даёт 100 к дальности атаки, работает на героях ближнего боя."
	
	"relic_generic_old_sickle"																				"Старый серп"
	"relic_generic_old_sickle_Description"																	"Каждая атака наносит 25% урона всем противникам в конусе перед вашим героем.\nНачальный радиус конуса - 150, конечный - 300, длина - 500."
	
	"relic_generic_broken_mirror"																			"Разбитое зеркало"
	"relic_generic_broken_mirror_Description"																"Даёт 150 к дальности применения способностей."
	
	"relic_generic_champions_spearhead"																		"Титул чемпиона"
	"relic_generic_champions_spearhead_Description"															"Даёт 1000 к скорости снарядов атак."
	
	"relic_generic_katana"																					"Катана"
	"relic_generic_katana_Description"																		"Даёт 20% шанс нанести 150% критического урона."
	
	"relic_generic_stick"																					"Палочка"
	"relic_generic_stick_Description"																		"Даёт 1 к урону."
	
	"relic_generic_mystic_gauntlet"																			"Мистическая рукавица"
	"relic_generic_mystic_gauntlet_Description"																"Даёт 3 к броне и 9% к сопротивлению магии."
	
	"relic_generic_power_glove"																				"Перчатки силы"
	"relic_generic_power_glove_Description"																	"Даёт 3 к броне и 20 к урону."
	
	"relic_generic_dragon_scales"																			"Драконьи весы"
	"relic_generic_dragon_scales_Description"																"Даёт 15% к урону от способностей и 40 к урону."
	
	"relic_generic_ifrit_tear"																				"Слеза ифрита"
	"relic_generic_ifrit_tear_Description"																	"Даёт 15% к урону от способностей и 4 к регенерации здоровья."
	
	"relic_generic_scythegeist"																				"Scythegeist"
	"relic_generic_scythegeist_Description"																	"Даёт 35 к урону и 5% к снижению перезарядки способностей."
	
	"relic_generic_barbedbell"																				"Barbedbell"
	"relic_generic_barbedbell_Description"																	"Даёт 10 к силе. Когда вы получаете урон, вы возвращаете 35 физического урона."
	
	"relic_generic_stone_fist"																				"Stone Fist"
	"relic_generic_stone_fist_Description"																	"Даёт 20% к генерации угрозы."
	
	"relic_generic_spinning_top"																			"Волчонок"
	"relic_generic_spinning_top_Description"																"Снижает базовое время атаки на 0.1"
	
	"relic_generic_tiger_blood"																				"Кровь тигра"
	"relic_generic_tiger_blood_Description"																	"Даёт 20% к увеличению лечения."
	
	"relic_generic_heavy_rock"																				"Тяжёлый камень"
	"relic_generic_heavy_rock_Description"																	"Даёт 15% усиление статуса"
	
	"relic_generic_amplifier"																				"Усиление"
	"relic_generic_amplifier_Description"																	"Даёт 10% усиление статуса и 20% усиление умений"
	
	"relic_generic_rich_essence"																			"Богатая эссенция"
	"relic_generic_rich_essence_Description"																"Даёт 10% усиление способностей и исцеления."
	
	"relic_generic_ethereal_gown"																			"Эфирная мантия"
	"relic_generic_ethereal_gown_Description"																"Даёт 8% уворотов, магического сопротивления и 2 защиты."
	
	"relic_generic_ectoplasm"																				"Эктоплазма"
	"relic_generic_ectoplasm_Description"																	"Даёт 6 регенерации маны и здоровья."
	
	"relic_generic_bowl_of_chi"																				"Чаша Чи"
	"relic_generic_bowl_of_chi_Description"																	"Даёт 15% сопротивление эффектам и 15% усиление эффектов."
	
	"relic_generic_stone_calendar"																			"Каменный календарь"
	"relic_generic_stone_calendar_Description"																"Даёт 4 зашиты и 15% сопротивление эффектам."
	
	"relic_generic_dull_razor"																				"Тупая бритва"
	"relic_generic_dull_razor_Description"																	"Даёт 25 урона и 15 ловкости."
	
	"relic_generic_torn_muscle"																				"Порванная мышца"
	"relic_generic_torn_muscle_Description"																	"Даёт 200 здоровья и 15 силы."
	
	"relic_generic_pickled_brain"																			"Маринованных мозг"
	"relic_generic_pickled_brain_Description"																"Даёт 200 маны и 15 интеллекта."
	
	"relic_generic_drop_of_all"																				"Всего по чуть-чуть"
	"relic_generic_drop_of_all_Description"																	"Даёт 5 ко всем характеристикам, 10 скорости перемещения, скорости атаки и урона, 100 здоровья и маны и 1 регенерации здоровья и маны в секунду."
	
	"relic_generic_scrap_of_paper"																			"Клочок бумаги"
	"relic_generic_scrap_of_paper_Description"																"Даёт 3 защиты и 8% сокращения перезарядки умений."
	
	"relic_generic_dry_quill"																				"Сухре перо"
	"relic_generic_dry_quill_Description"																	"Даёт 15 скорости атаки, 15 урона и 5% сокращения перезарядки умений."
	
	"relic_generic_leather_buckler"																			"Кожанный щит"
	"relic_generic_leather_buckler_Description"																"Даёт 60% шанс заблокировать 20 урона. Блокирует все типы урона после осальных сокращений."
}
